id,initial,city,name,culture,team_id,game_id,first_downs_number,first_downs_rushing,first_downs_passing,first_downs_penalty,game_totals_plays,game_totals_yards,game_totals_average,rushing_attempts,rushing_yards,rushing_average,passing_completions,passing_attempts,passing_interception,passing_yards,passing_average,passing_sacked,punting_punts,punting_yards,punting_average,punting_singles,return_totals_yards,punt_returns_attempts,punt_returns_yards,kick_returns_attempts,kick_returns_yards,interception_returns_attempts,interception_returns_yards,defense_tackles,defense_assists,defense_sacks,defense_sack_yards,defense_passes_defensed,defense_forced_fumbles,defense_fumble_recoveries,special_teams_tackles,penalties_number,penalties_yards,fumbles_number,fumbles_lost,possession_time,field_goals_made,field_goals_attempts,field_goals_blocked,field_goals_percent,field_goals_singles,kickoffs_number,kickoffs_end_zone,kickoffs_touchbacks,kickoffs_singles,id,game_num,week_num,game_date,date_tbd,time_tbd,game_status,away_team,home_team,away_coach,home_coach,mvp,stadium_id,attendance,away_score,away_score1,away_score2,away_score3,away_score4,away_scoreOT,home_score,home_score1,home_score2,home_score3,home_score4,home_scoreOT,sold_out,is_visible,stats_inc_id,period_value,period_time_remaining,last_update,name,location,id,culture,loc,score,win
1,bc,BC,Lions,en,1,10715,27,15,11,1,54,424,7.9,27,213,7,20,26,0,211,8.1,1,6,209,34.8,1,70,2,9,4,61,0,0,43,0,4,20,1,0,1,7,6,65,2,1,00:33:39,1,1,0,100,0,4,0,0,0,10715,82,30,"2013-11-10 16:30:00",0,0,Final,1,4,,,,4,30942,25,0,17,8,0,NULL,29,3,13,0,13,NULL,0,1,1315276,4,NULL,"2013-11-10 20:47:26","Mosaic Stadium",Saskatchewan,4,en,A,25,0
1,bc,BC,Lions,en,1,11805,16,4,11,1,58,377,6.5,20,84,4,17,34,0,293,8.6,4,11,437,39.7,1,151,9,97,2,54,1,8,45,0,3,24,3,1,1,10,10,82,0,0,00:28:19,2,2,0,100,0,2,0,0,0,11805,NULL,2,"2014-06-13 21:00:00",0,0,Final,1,3,,,,2,25963,14,3,1,0,10,NULL,11,7,3,1,0,NULL,0,1,1411672,4,NULL,"2014-06-14 01:05:53","Commonwealth Stadium",Edmonton,2,en,A,14,1
1,bc,BC,Lions,en,1,12665,15,3,9,3,48,305,6.4,16,54,3,18,28,0,251,9,4,6,255,42.5,0,153,6,49,5,104,1,10,43,0,3,18,2,0,0,8,7,40,1,1,00:27:09,2,2,0,100,0,3,0,0,0,12665,NULL,5,"2014-06-28 18:00:00",0,0,Final,3,1,,,,1,24524,27,7,6,7,7,NULL,20,14,3,0,3,NULL,0,1,1411694,4,NULL,"2014-06-28 21:24:36","B.C. Place",Vancouver,1,en,H,20,0
1,bc,BC,Lions,en,1,12671,16,4,9,3,54,268,5,19,81,4,15,30,0,187,6.2,5,9,433,48.1,0,115,3,24,4,71,0,0,48,0,1,8,4,2,1,10,9,85,1,1,00:25:25,1,1,0,100,0,3,0,0,0,12671,NULL,6,"2014-07-04 19:00:00",0,0,Final,1,9,,,,9,20018,9,0,0,3,6,NULL,24,14,6,0,4,NULL,0,1,1411699,4,NULL,"2014-07-05 01:33:30","Percival Molson Stadium",Montreal,9,en,A,9,0
1,bc,BC,Lions,en,1,12683,20,7,10,3,59,356,6,30,186,6,16,27,0,170,6.3,2,9,402,44.7,1,197,7,87,5,110,1,53,34,0,2,17,4,1,1,8,14,105,0,0,00:34:05,3,4,0,75,0,2,0,0,0,12683,NULL,7,"2014-07-12 21:30:00",0,0,Final,1,4,,,,4,32864,26,11,3,2,10,NULL,13,0,13,0,0,NULL,0,1,1411710,4,NULL,"2014-07-14 18:09:59","Mosaic Stadium",Saskatchewan,4,en,A,26,1
1,bc,BC,Lions,en,1,12691,29,9,19,1,66,526,8,24,153,6,27,38,0,373,9.8,4,7,241,34.4,0,79,7,43,2,36,1,41,27,0,3,28,3,1,1,11,14,130,2,1,00:34:54,2,2,0,100,0,8,0,0,0,12691,NULL,8,"2014-07-19 19:00:00",0,0,Final,9,1,,,,1,25063,5,3,0,0,2,NULL,41,10,10,7,14,NULL,0,1,1411721,4,NULL,"2014-07-19 22:50:35","B.C. Place",Vancouver,1,en,H,41,1
1,bc,BC,Lions,en,1,12695,19,5,14,0,59,342,5.8,20,100,5,19,33,0,242,7.3,6,8,312,39,0,128,5,46,4,82,1,0,44,0,2,17,3,0,0,7,14,122,3,1,00:29:30,2,2,0,100,0,2,0,0,0,12695,NULL,9,"2014-07-25 22:00:00",0,0,Final,5,1,,,,1,25321,23,6,3,14,0,NULL,6,0,6,0,0,NULL,0,1,1411727,4,NULL,"2014-07-26 01:10:12","B.C. Place",Vancouver,1,en,H,6,0
1,bc,BC,Lions,en,1,12705,19,5,11,3,56,385,6.9,23,108,4,22,32,0,277,8.7,1,10,482,48.2,0,120,7,24,4,96,1,34,37,0,1,20,2,3,2,13,9,82,1,0,00:32:43,2,2,0,100,0,5,0,0,0,12705,NULL,10,"2014-08-01 22:00:00",0,0,Final,1,2,,,,3,27266,25,7,3,3,12,NULL,24,7,14,0,3,NULL,0,1,1411744,4,NULL,"2014-08-02 01:13:41","McMahon Stadium",Calgary,3,en,A,25,1
1,bc,BC,Lions,en,1,12713,27,4,19,4,59,494,8.4,20,87,4,22,36,0,407,11.3,3,5,231,46.2,0,142,6,61,4,81,0,0,40,0,2,16,1,0,0,7,7,77,1,0,00:33:12,5,5,0,100,0,4,0,0,0,12713,NULL,11,"2014-08-08 22:00:00",0,0,Final,6,1,,,,1,24236,29,3,16,7,3,NULL,36,17,0,10,9,NULL,0,1,1411667,4,NULL,"2014-08-09 01:30:55","B.C. Place",Vancouver,1,en,H,36,1
1,bc,BC,Lions,en,1,12725,14,8,6,0,54,375,6.9,26,167,6,14,25,0,208,8.3,3,10,452,45.2,0,249,10,169,3,80,2,36,37,0,2,16,3,2,1,12,14,131,0,0,00:29:32,4,4,0,100,0,5,0,0,0,12725,NULL,12,"2014-08-17 19:30:00",0,0,Final,1,7,,,,6,18283,33,10,3,0,20,NULL,17,0,9,1,7,NULL,0,1,1411682,4,NULL,"2014-08-17 23:11:28","Rogers Centre",Toronto,6,en,A,33,1
1,bc,BC,Lions,en,1,12733,12,2,9,1,45,229,5.1,13,56,4,19,29,0,173,6,3,10,414,41.4,0,342,9,203,4,139,0,0,49,0,3,20,1,1,0,7,12,104,0,0,00:25:34,3,3,0,100,0,3,0,0,0,12733,NULL,13,"2014-08-24 19:00:00",0,0,Final,4,1,,,,1,33196,20,0,9,10,1,NULL,16,10,3,3,0,NULL,0,1,1411693,4,NULL,"2014-08-24 22:23:58","B.C. Place",Vancouver,1,en,H,16,0
1,bc,BC,Lions,en,1,12743,14,6,8,0,49,247,5,20,80,4,18,27,0,167,6.2,2,11,515,46.8,1,117,9,92,1,25,1,34,36,0,3,22,1,2,1,10,13,109,2,0,00:31:22,2,2,0,100,0,2,0,0,0,12743,NULL,15,"2014-09-05 19:30:00",0,0,Final,1,65,,,,67,24287,7,0,6,1,0,NULL,5,3,2,0,0,NULL,0,1,1411706,4,NULL,"2014-09-05 23:01:10","TD Place Stadium",Ottawa,67,en,A,7,1
1,bc,BC,Lions,en,1,12755,22,9,13,0,56,424,7.6,26,163,6,20,27,0,261,9.7,3,7,303,43.3,0,78,4,12,3,66,0,0,28,0,3,11,1,1,1,10,9,79,1,0,00:32:21,3,4,0,75,1,5,0,0,0,12755,NULL,16,"2014-09-13 22:00:00",0,0,Final,5,1,,,,1,27754,9,3,0,3,3,NULL,26,3,12,1,10,NULL,0,1,1411723,4,NULL,"2014-09-14 16:08:15","B.C. Place",Vancouver,1,en,H,26,1
1,bc,BC,Lions,en,1,12759,22,6,14,2,58,415,7.2,15,93,6,23,40,0,322,8.1,3,6,310,51.7,0,146,6,23,5,123,0,0,40,0,3,13,2,0,0,10,13,131,2,0,00:28:00,0,2,0,0,2,5,0,0,0,12759,NULL,17,"2014-09-19 22:00:00",0,0,Final,7,1,,,,1,27038,40,4,17,7,12,NULL,23,0,9,0,14,NULL,0,1,1411728,4,NULL,"2014-09-20 01:44:41","B.C. Place",Vancouver,1,en,H,23,0
