playerid,touchdowns,points,fumbles
7077,0,0,0
7081,0,0,0
7087,0,0,0
7099,0,0,0
7103,0,0,0
7107,0,0,0
7113,0,0,0
7117,0,0,0
7121,0,0,0
7123,0,0,0
7127,0,0,0
7129,0,0,0
7133,0,0,0
7135,0,0,0
7137,0,0,0
7141,0,0,0
7143,0,0,0
7147,0,0,0
7149,0,0,0
7151,1,6,0
7155,0,0,0
7157,0,0,0
7163,4,24,1
7169,0,0,0
7171,1,6,1
7173,1,6,0
7175,0,0,0
7181,0,0,0
7185,0,0,0
7187,1,6,0
7189,0,0,0
7191,0,0,0
7193,0,0,0
7195,1,6,2
7199,0,0,0
7201,0,0,0
7203,0,0,0
7205,0,0,0
7207,0,0,0
7211,0,0,0
7213,1,6,0
7219,0,0,0
7223,0,0,0
7229,0,0,0
7241,0,5,0
7243,0,0,0
7249,3,18,0
7251,0,0,0
7253,0,0,0
7255,0,0,0
7257,0,0,0
7265,0,0,0
7267,0,0,1
7277,0,0,0
7279,0,0,0
7281,0,0,0
7283,0,0,0
7289,1,6,0
7291,0,0,0
7293,0,0,0
7295,0,0,0
7297,0,0,0
7299,0,0,0
7301,0,0,0
7307,0,0,0
7315,0,0,0
7333,1,6,0
7335,0,0,0
7339,0,0,0
7353,10,62,7
7357,0,0,0
7371,0,0,0
7381,0,0,0
7385,0,0,0
7395,0,0,0
7399,8,48,3
7401,0,0,0
7403,0,0,0
7425,0,0,0
7431,0,0,0
7435,3,18,0
7451,0,0,0
7463,0,0,0
7473,0,0,0
7477,0,0,0
7481,0,0,0
7485,0,0,0
7491,0,0,0
7497,0,0,0
7499,0,0,0
7507,0,0,0
7513,0,0,0
7523,0,0,0
7533,0,0,0
7543,1,6,0
7551,0,0,0
7555,0,0,0
7573,1,6,0
7583,0,0,0
7595,0,0,0
7599,0,0,0
7617,0,0,0
7623,3,22,0
7625,0,0,0
7627,0,0,1
7631,0,0,0
7639,0,0,0
7641,0,0,0
7643,0,0,0
7645,0,0,0
7647,2,12,0
7655,2,12,0
7657,0,0,0
7663,2,14,0
7665,0,0,0
7673,0,0,0
7675,0,0,0
7679,0,0,0
7683,1,6,0
7689,0,0,0
7695,0,0,0
7697,0,0,0
7699,0,0,0
7707,0,37,1
7709,0,0,0
7715,0,0,0
7717,0,0,0
7721,0,0,0
7723,1,6,0
7727,0,0,0
7731,0,0,0
7739,0,0,0
7749,0,0,0
7751,0,0,0
7753,1,6,0
7773,0,0,0
7781,0,0,0
7787,0,0,0
7789,0,0,0
7791,0,0,0
7793,1,6,1
7799,3,20,0
7803,0,0,0
7805,0,0,0
7807,0,0,0
7809,0,0,0
7811,0,0,0
7815,2,12,0
7831,0,0,0
7835,0,0,0
7841,0,0,0
7843,0,0,0
7851,0,0,0
7853,0,0,0
7861,0,0,0
7865,0,0,0
7867,0,0,3
7869,0,0,0
7871,0,0,0
7875,0,0,0
7881,0,0,0
7883,0,0,0
7885,0,0,0
7887,0,0,0
7889,0,0,0
7895,0,0,0
7899,0,0,0
7901,0,0,0
7903,0,0,0
7907,0,0,0
7909,0,0,0
7921,0,0,0
7923,0,0,0
7925,0,0,1
7931,0,0,0
7933,0,0,0
7937,0,0,0
7941,0,0,0
7943,0,0,0
7945,0,0,0
7947,0,0,0
7949,0,0,0
7951,0,0,0
7953,0,0,0
7955,0,0,0
7957,0,0,0
7959,0,0,0
7961,0,0,0
7963,0,0,0
7967,0,0,0
7969,0,0,0
7971,0,0,0
7973,0,0,0
7975,0,0,0
7977,0,0,0
7985,0,0,0
7987,0,0,0
7989,0,0,0
7991,0,0,0
7995,0,0,0
8001,0,0,0
8003,0,0,0
8005,0,0,0
8007,0,0,0
8009,0,0,0
8011,0,0,0
8023,0,0,0
8037,0,0,0
8041,0,0,0
8045,0,0,0
8051,0,0,0
8053,0,0,0
8057,0,0,0
8059,0,0,0
8061,0,0,0
8071,0,0,0
8077,1,6,0
8079,0,0,1
8083,0,0,0
8085,0,0,0
8091,0,0,0
8093,0,0,0
