sked_id,home_initial
640,ssk
641,mtl
642,tor
643,ham
644,edm
645,edm
646,tor
647,bc
648,edm
649,mtl
650,wpg
651,wpg
652,edm
653,ssk
654,tor
655,cgy
656,cgy
657,wpg
658,tor
659,ham
660,mtl
661,wpg
662,ham
663,ssk
664,cgy
665,ssk
666,ssk
667,bc
668,mtl
669,ham
670,tor
671,edm
672,cgy
673,cgy
674,edm
675,bc
676,bc
677,wpg
678,mtl
679,edm
680,mtl
681,bc
682,wpg
683,wpg
684,ham
685,bc
686,ssk
687,bc
688,cgy
689,mtl
690,bc
691,ham
692,edm
693,ssk
694,ssk
695,mtl
696,cgy
697,tor
698,bc
699,ham
700,wpg
701,tor
702,wpg
703,ssk
704,bc
705,edm
706,ham
707,cgy
708,wpg
709,tor
710,mtl
711,cgy
712,tor
713,bc
714,edm
715,ham
716,mtl
717,wpg
718,edm
719,ssk
721,ham
723,ssk
725,ott
727,cgy
729,tor
731,bc
733,mtl
735,wpg
737,edm
739,tor
741,wpg
743,bc
745,mtl
747,ssk
749,ott
751,ham
753,edm
755,cgy
757,ott
759,ssk
761,tor
763,cgy
765,wpg
767,mtl
769,bc
771,ham
773,mtl
775,ott
777,ssk
779,edm
781,tor
783,wpg
785,ham
787,cgy
789,ott
791,bc
793,edm
795,ssk
797,mtl
799,bc
801,cgy
803,tor
805,mtl
807,wpg
809,ham
811,ssk
813,tor
815,ott
817,edm
819,cgy
821,wpg
823,ham
825,tor
827,bc
829,edm
831,ott
833,ssk
835,cgy
837,ham
839,edm
841,ott
843,mtl
845,wpg
847,cgy
849,wpg
851,bc
853,ham
855,cgy
857,mtl
859,edm
861,ssk
863,tor
865,ham
867,ssk
869,bc
871,wpg
873,ott
875,tor
877,edm
879,ham
881,cgy
883,mtl
885,ssk
887,tor
889,bc
891,mtl
893,edm
895,tor
897,wpg
899,ott
901,bc
903,tor
905,edm
907,bc
909,mtl
911,tor
913,ott
915,ssk
917,cgy
919,tor
921,edm
923,mtl
925,ham
927,bc
929,wpg
931,cgy
933,tor
935,ham
937,bc
939,edm
941,edm
943,ott
945,ssk
947,tor
949,wpg
951,cgy
953,ssk
955,bc
957,ham
959,ott
961,wpg
963,ham
965,mtl
967,tor
969,edm
971,ott
973,mtl
975,ssk
977,wpg
979,bc
981,ssk
983,cgy
985,mtl
987,ott
989,tor
991,cgy
993,ham
995,ott
997,mtl
999,bc
1001,edm
1003,wpg
1005,tor
1007,ham
1009,cgy
1011,ssk
1013,mtl
1015,wpg
1017,bc
1019,edm
1021,ott
1023,ssk
1025,ham
1027,cgy
1029,edm
1031,ott
1033,ssk
1035,wpg
1037,ham
1039,bc
1041,mtl
1043,cgy
1045,tor
1047,edm
1049,wpg
1051,mtl
1053,ott
1055,edm
1057,ham
1059,ssk
1061,cgy
1063,tor
1065,bc
1067,mtl
1069,wpg
1071,bc
1073,ott
1075,ssk
1077,tor
1079,edm
1081,ham
1083,cgy
1085,tor
1087,wpg
1089,bc
1091,mtl
1093,tor
1095,wpg
1097,mtl
1099,edm
1101,edm
1103,wpg
1105,cgy
1107,ott
1109,ham
1111,ssk
1113,bc
1115,mtl
1117,edm
1119,tor
1121,mtl
1123,ott
1125,wpg
1127,cgy
1129,ham
1131,tor
1133,edm
1135,wpg
1137,ssk
1139,bc
1141,mtl
1143,ott
1145,ham
1147,edm
1149,wpg
1151,cgy
1153,bc
1155,ssk
1157,tor
1159,ott
1161,cgy
1163,edm
1165,mtl
1167,tor
1169,ham
1171,bc
1173,mtl
1175,edm
1177,ott
1179,cgy
1181,wpg
1183,ssk
1185,mtl
1187,edm
1189,bc
1191,tor
1193,bc
1195,ham
1197,tor
1199,wpg
1201,ssk
1203,ott
1205,ssk
1207,ham
1209,cgy
1211,edm
1213,ott
1215,mtl
1217,wpg
1219,bc
1221,cgy
1223,ham
1225,ssk
1227,wpg
1229,edm
1231,ott
1233,tor
1235,bc
1237,ssk
1239,mtl
1241,ham
1243,cgy
1245,tor
1247,ott
1249,ssk
1251,bc
1253,wpg
1255,ham
1257,edm
1259,cgy
1261,ssk
1263,mtl
1265,tor
1267,edm
1269,ott
1271,ham
1273,cgy
1275,bc
1277,wpg
1279,mtl
1281,tor
1283,tor
1285,wpg
1287,mtl
1289,edm
1291,mtl
1293,ssk
1295,cgy
1297,mtl
1299,tor
1301,ham
1303,bc
1305,wpg
1307,edm
1309,tor
1311,cgy
1313,ssk
1315,bc
1317,mtl
1319,ham
1321,tor
1323,edm
1325,tor
1327,wpg
1329,edm
1331,bc
1333,mtl
1335,ham
1337,cgy
1339,ssk
1341,ham
1343,wpg
1345,cgy
1347,bc
1349,mtl
1351,wpg
1353,ssk
1355,bc
1357,mtl
1359,ham
1361,cgy
1363,edm
1365,wpg
1367,edm
1369,tor
1371,bc
1373,mtl
1375,ssk
1377,ham
1379,cgy
1381,edm
1383,tor
1385,wpg
1387,ssk
1389,cgy
1391,wpg
1393,mtl
1395,edm
1397,ham
1399,mtl
1401,ssk
1403,mtl
1405,tor
1407,wpg
1409,ssk
1411,ham
1413,edm
1415,bc
1417,mtl
1419,cgy
1421,edm
1423,tor
1425,wpg
1427,ssk
1429,tor
1431,cgy
1433,bc
1435,ham
1437,tor
1439,ssk
1441,mtl
1443,cgy
1445,wpg
1447,ham
1449,bc
1451,edm
1453,bc
