playerid,touchdowns,points,fumbles,first,last,team,height,weight,birthdate,birthplace,position
1771,0,0,0,Jovan,Olafioye,BC Lions,6.06,325,32127,"Detroit, MI",OL
1799,1,6,0,Rolly,Lumbala,BC Lions,6.02,238,31442,"Libreville, Gabon",OL
1849,0,0,0,Kristian,Matte,Montreal Alouettes,6.04,296,31293,"St. Hubert, QC",OG
1887,0,0,0,Dwight,Anderson,Calgary Stampeders,5.11,188,29772,"Spanish Town, Jamaica",OLB
1891,3,18,2,Fred,Stamps,Montreal Alouettes,6,188,29930,"New Orleans, LA",S
1895,0,13,2,Mike,Renaud,NULL,6.02,214,30461,"Ottawa, ON",RB
1899,0,0,0,Bryant,Turner Jr.,Winnipeg Blue Bombers,6.02,266,32106,"Mobile, AB",DB
1927,6,36,4,Anthony,Parker,Calgary Stampeders,6.02,217,32833,"Vancouver, BC",WR
1969,0,0,0,Corey,Mace,Calgary Stampeders,6.03,286,31403,"Vancouver, BC",QB
1983,0,0,0,Yannick,Carter,Calgary Stampeders,6.01,220,30717,"Pickering, ON",RB
1999,11,68,2,Chris,Getzlaf,Saskatchewan Roughriders,6.01,208,30325,"Regina, SK",QB
2011,2,12,1,Marco,Iannuzzi,BC Lions,6.01,195,31918,"Calgary, AB",RB
2013,0,0,0,Daryl,Stephenson,NULL,6.02,228,31328,"London, ON",DB
2015,9,56,3,Rob,Bagg,Saskatchewan Roughriders,6,192,31081,"Kingston, ON",DL
2039,0,0,1,Michel-Pierre,Pontbriand,Winnipeg Blue Bombers,6.02,230,30379,"Saint-Sauveur, QC",S
2041,4,24,4,Andre,Durie,Toronto Argonauts,5.1,195,29794,"Mississauga, ON",OG
2051,0,0,0,Byron,Parker,Calgary Stampeders,6,220,29652,"Madisonville, KY",OL
2107,0,0,0,Mathieu,Boulay,Calgary Stampeders,6.02,250,32104,"Montreal, QC",OLB
2121,0,0,0,Eric,Taylor,Calgary Stampeders,6.02,309,29934,"Winchester, TN",DL
2129,0,0,0,Donovan,Alexander,NULL,6,182,31140,"Winnipeg, MB",WR
2133,4,24,0,Calvin,McCarty,Edmonton Eskimos,5.1,215,30988,"Muskogee, OK",WR
2177,0,0,0,Tearrius,George,Saskatchewan Roughriders,6.04,277,30288,"Fayetteville, NC",QB
2191,3,18,1,Rob,Cote,Calgary Stampeders,6.01,225,31598,"Calgary, AB",DL
2217,0,0,0,Justin,Phillips,Ottawa Redblacks,6.03,236,31161,"Ottawa, ON",K
2239,0,0,0,Chris,Best,Saskatchewan Roughriders,6.05,301,30409,"Calgary, AB",OG
2285,0,0,0,Tim,St. Pierre,Calgary Stampeders,6,230,31520,"Hamilton, ON",RB
2299,0,0,0,Bo,Smith,Calgary Stampeders,6,185,30571,"Owensboro, KY",S
2305,22,132,2,S.J.,Green,Montreal Alouettes,6.02,216,31218,"Tampa, FL",OL
2333,0,0,0,Glenn,January,NULL,6.06,299,30461,"Houston, TX",DB
2345,0,0,0,Billy,Parker,Montreal Alouettes,6,195,29723,"Mechanicsville, VA",OG
2357,0,0,0,T.J.,Hill,Calgary Stampeders,5.09,195,29404,"Paterson, NJ",DT
2371,3,18,2,Zander,Robinson,Toronto Argonauts,6.05,241,32792,"Vancouver, BC",OLB
2373,17,102,4,Drew,Tate,Calgary Stampeders,6,191,30963,"Baytown, TX",WR
2435,0,0,0,Steve,Morley,NULL,6.07,313,29816,"Halifax, NS",DB
2471,0,0,0,Josh,Bourke,Montreal Alouettes,6.07,300,30240,Windsor ON,OG
2495,0,0,0,Maurice,Mann,NULL,6.02,192,30208,"Seaside, CA",OLB
2505,0,0,0,Jermaine,McElveen,Montreal Alouettes,6.04,265,30923,"North Chicago, IL",OG
2545,0,0,0,Ejiro,Kuale,NULL,6.02,229,30489,"Daytona Beach, FL",WR
2551,0,0,0,Joe,Eppele,Calgary Stampeders,6.08,301,32001,"Brackendale, BC",DB
2613,0,0,0,Jonathan,Hood,Calgary Stampeders,6,195,31404,"Mississauga, ON",OG
2619,0,0,0,Paul,Woldu,Saskatchewan Roughriders,6,170,30939,"Regina, SK",DB
2661,4,24,0,Samuel,Giguere,Montreal Alouettes,6,215,31239,"Sherbrooke, QC",WR
2701,0,0,1,Jeff,Keeping,Toronto Argonauts,6.06,295,30151,"Uxbridge, ON",WR
2703,2,14,1,Jerome,Messam,Saskatchewan Roughriders,6.03,245,31139,"Toronto, ON",OG
2813,0,0,0,Mike,Montoya,Calgary Stampeders,5.09,236,31956,"Burlington, ON",OLB
2815,0,0,0,Jermaine,Reid,Calgary Stampeders,6.04,263,30425,"Pickering, ON",WR
2825,0,0,0,Paul,Swiston,Calgary Stampeders,6.09,334,32654,"Calgary, AB",WR
2827,0,0,0,Adrian,McPherson,Toronto Argonauts,6.03,220,30444,"Bradenton, FL",OL
2833,0,0,0,Luc,Brodeur-Jourdain,Montreal Alouettes,42157,309,30392,"St-Hyacinthe, QC",C
2835,0,0,0,Shea,Emry,Saskatchewan Roughriders,6,228,31525,"Richmond, BC",OG
2855,0,0,0,Ryan,Lucas,Calgary Stampeders,6.05,290,30978,0,S
2871,0,0,1,Larry,Taylor,NULL,5.06,181,31197,"Fort Lauderdale, FL",WR
2887,6,36,0,Arland,Bruce,Calgary Stampeders,5.11,194,28452,"Olathe, KS",OL
2893,14,96,0,Weston,Dressler,Saskatchewan Roughriders,5.07,179,31212,"Bismarck, ND",OL
2919,1,6,0,Renauld,Williams,NULL,6,238,29640,"Westbury, NY",OG
2921,0,0,0,Quinton,Porter,Calgary Stampeders,6.05,228,30313,"Portland, ME",DB
2929,0,0,0,Markeith,Knowlton,NULL,6,205,30412,"Elaine, AR",DB
2931,0,0,0,Corbin,Sharun,Calgary Stampeders,6,220,32392,"Edmonton, AB",OG
2953,0,0,0,Ricky,Foley,Toronto Argonauts,6.03,243,30111,"Courtice, ON",RB
2965,2,12,0,Mike,Bradwell,11,6.03,197,31604,"Toronto, ON",OG
2971,0,0,0,Hugo,Lopez,Ottawa Redblacks,6.03,215,31944,"Leon, Nicaragua",DB
2993,0,0,0,Brandon,Smith,Calgary Stampeders,5.1,186,30915,"Oakland, CA",QB
3001,0,0,0,Charleston,Hughes,Calgary Stampeders,6.01,250,30664,"Saginaw, MI",QB
